1 	 546
2 	 658
3 	 699
4 	 873
5 	 587
6 	 934
7 	 847
8 	 821
9 	 1042
10 	 1051
11 	 1036
12 	 922
13 	 662
14 	 507
15 	 985
16 	 1357
17 	 913
18 	 691
19 	 1931
20 	 654
21 	 952
22 	 998
23 	 1138
24 	 585
25 	 1637
26 	 582
27 	 1564
28 	 631
29 	 523
30 	 1616
31 	 936
32 	 549
33 	 509
34 	 2065
35 	 607
36 	 569
37 	 705
38 	 828
39 	 1325
40 	 644
41 	 598
42 	 524
43 	 558
44 	 697
45 	 872
46 	 1069
47 	 2444
48 	 540
49 	 2433
50 	 712
51 	 3423
52 	 891
53 	 854
54 	 789
55 	 1052
56 	 834
57 	 1133
58 	 2353
59 	 504
60 	 882
61 	 1642
62 	 1316
63 	 947
64 	 568
65 	 1420
66 	 560
67 	 804
68 	 568
69 	 1188
70 	 724
71 	 1831
72 	 613
73 	 633
74 	 708
75 	 1385
76 	 1343
77 	 745
78 	 678
79 	 1049
80 	 627
81 	 1515
82 	 982
83 	 969
84 	 730
85 	 669
86 	 646
87 	 1376
88 	 948
89 	 698
90 	 570
91 	 852
92 	 934
93 	 670
94 	 5943
95 	 764
96 	 525
97 	 611
98 	 846
99 	 658
100 	 1047
101 	 967
102 	 1195
103 	 1470
104 	 1278
105 	 1189
106 	 531
107 	 2495
108 	 689
109 	 783
110 	 6120
111 	 507
112 	 967
113 	 749
114 	 504
115 	 649
116 	 508
117 	 2177
118 	 532
119 	 522
120 	 2944
121 	 839
122 	 639
123 	 769
124 	 712
125 	 700
126 	 3707
127 	 599
128 	 687
129 	 735
130 	 651
131 	 2950
132 	 556
133 	 633
134 	 528
135 	 977
136 	 4510
137 	 979
138 	 578
139 	 566
140 	 719
141 	 638
142 	 717
143 	 1014
144 	 659
145 	 3064
146 	 793
147 	 679
148 	 682
149 	 2816
150 	 1082
151 	 504
152 	 572
153 	 979
154 	 723
155 	 5795
156 	 7864
157 	 876
158 	 3801
159 	 696
160 	 578
161 	 556
162 	 1246
163 	 661
164 	 4374
165 	 520
166 	 506
167 	 630
168 	 736
169 	 841
170 	 562
171 	 630
172 	 1028
173 	 2627
174 	 718
175 	 724
176 	 603
177 	 2341
178 	 589
179 	 608
180 	 767
181 	 747
182 	 3352
183 	 935
184 	 917
185 	 623
186 	 859
187 	 1384
188 	 2295
189 	 598
190 	 643
191 	 738
192 	 628
193 	 748
194 	 3279
195 	 504
196 	 1145
197 	 4856
198 	 820
199 	 554
200 	 548
201 	 5080
202 	 2221
203 	 645
204 	 608
205 	 9057
206 	 1757
207 	 749
208 	 1193
209 	 650
210 	 549
211 	 2318
212 	 700
213 	 660
214 	 1417
215 	 683
216 	 833
217 	 1237
218 	 601
219 	 514
220 	 1074
221 	 601
222 	 538
223 	 741
224 	 980
225 	 758
226 	 980
227 	 532
228 	 527
229 	 633
230 	 525
231 	 684
232 	 780
233 	 733
234 	 1479
235 	 1232
236 	 765
237 	 617
238 	 752
239 	 929
240 	 1082
241 	 1424
242 	 598
243 	 789
244 	 609
245 	 1436
246 	 860
247 	 1071
248 	 2552
249 	 1090
250 	 996
251 	 1166
252 	 953
253 	 3311
254 	 693
255 	 1432
256 	 971
257 	 1761
258 	 630
259 	 576
260 	 622
261 	 964
262 	 1024
263 	 10919
264 	 527
265 	 678
266 	 594
267 	 597
268 	 872
269 	 653
270 	 696
271 	 718
272 	 642
273 	 826
274 	 870
275 	 590
276 	 645
277 	 581
278 	 1121
279 	 741
280 	 3747
281 	 582
282 	 5556
283 	 1069
284 	 618
285 	 6479
286 	 2314
287 	 3890
288 	 754
289 	 928
290 	 1423
291 	 863
292 	 814
293 	 1071
294 	 913
295 	 740
296 	 685
297 	 1907
298 	 967
299 	 534
300 	 597
301 	 1178
302 	 2008
303 	 2281
304 	 770
305 	 517
306 	 1389
307 	 721
308 	 1074
309 	 1385
310 	 1043
311 	 691
312 	 1071
313 	 769
314 	 1129
315 	 590
